"Genotype","Environment","Rep","Block","Row","Col","GrainYield","PlantHeight","DaysToFlowering","TKW"
"G01","ENV1",1,"B1",1,1,5.96,97.2,57,44.4
"G02","ENV1",1,"B1",2,1,4.6,90.2,57,39.8
"G03","ENV1",1,"B1",3,1,4.33,84.9,61,36.1
"G04","ENV1",1,"B1",4,1,4.91,93.9,59,40.1
"G05","ENV1",1,"B1",5,1,4.28,80.8,62,35.8
"G06","ENV1",1,"B1",6,1,4.53,85.6,61,38.8
"G07","ENV1",1,"B1",7,1,4.26,90.8,63,38.6
"G08","ENV1",1,"B1",8,1,5.07,89,60,41.4
"G09","ENV1",1,"B1",9,1,5.21,89.2,64,39.8
"G10","ENV1",1,"B1",10,1,4.85,91,58,42.6
"G11","ENV1",1,"B1",1,2,4.49,83.5,61,37.1
"G12","ENV1",1,"B1",2,2,5.03,88.1,60,40.2
"G13","ENV1",1,"B1",3,2,4.42,99.7,60,40.4
"G14","ENV1",1,"B1",4,2,NA,83.4,61,36.6
"G15","ENV1",1,"B1",5,2,4.49,95.5,59,41.3
"G16","ENV1",1,"B1",6,2,4.8,81.7,61,39.4
"G17","ENV1",1,"B1",7,2,4.65,97.4,60,39.2
"G18","ENV1",1,"B1",8,2,3.75,87.5,62,38.7
"G19","ENV1",1,"B1",9,2,4.29,93,58,40.7
"G20","ENV1",1,"B1",10,2,4.65,86,63,38.2
"G01","ENV1",2,"B2",1,3,5.57,94.6,58,42
"G02","ENV1",2,"B2",2,3,4.69,100.1,57,40.4
"G03","ENV1",2,"B2",3,3,4.14,87,62,38
"G04","ENV1",2,"B2",4,3,5.06,88,59,40.1
"G05","ENV1",2,"B2",5,3,4.55,83.5,62,36.2
"G06","ENV1",2,"B2",6,3,4.91,93.6,59,39.8
"G07","ENV1",2,"B2",7,3,4.53,88.1,63,38.8
"G08","ENV1",2,"B2",8,3,5.15,88.7,60,40.3
"G09","ENV1",2,"B2",9,3,4.85,89.1,63,42.1
"G10","ENV1",2,"B2",10,3,5.3,91.9,61,40.2
"G11","ENV1",2,"B2",1,4,4.58,84.2,63,38.1
"G12","ENV1",2,"B2",2,4,5.76,89.6,61,39.5
"G13","ENV1",2,"B2",3,4,5.06,90.9,57,40.5
"G14","ENV1",2,"B2",4,4,4.19,86.5,63,34.9
"G15","ENV1",2,"B2",5,4,5.36,97,58,42.8
"G16","ENV1",2,"B2",6,4,4.78,88.1,65,37.7
"G17","ENV1",2,"B2",7,4,5.01,93.8,60,37.8
"G18","ENV1",2,"B2",8,4,3.69,88.1,61,36.6
"G19","ENV1",2,"B2",9,4,4.61,93.7,60,39.4
"G20","ENV1",2,"B2",10,4,4.92,87.4,63,38.6
"G01","ENV1",3,"B3",1,5,5.87,94.8,59,42.3
"G02","ENV1",3,"B3",2,5,4.55,87.8,60,39
"G03","ENV1",3,"B3",3,5,4.57,90.2,64,37.2
"G04","ENV1",3,"B3",4,5,5.12,94.3,59,39.7
"G05","ENV1",3,"B3",5,5,4.42,82.3,62,39.2
"G06","ENV1",3,"B3",6,5,4.96,92.4,60,40.3
"G07","ENV1",3,"B3",7,5,5.13,84.9,62,39.1
"G08","ENV1",3,"B3",8,5,5.64,90.2,58,42.1
"G09","ENV1",3,"B3",9,5,5.24,85.2,60,38.3
"G10","ENV1",3,"B3",10,5,5.5,97.3,59,38.6
"G11","ENV1",3,"B3",1,6,4.39,88.7,62,39.5
"G12","ENV1",3,"B3",2,6,5.34,92.9,62,42.1
"G13","ENV1",3,"B3",3,6,4.7,94.7,61,39.2
"G14","ENV1",3,"B3",4,6,4.1,87.1,64,36.8
"G15","ENV1",3,"B3",5,6,5.6,92.4,60,42.7
"G16","ENV1",3,"B3",6,6,4.42,88.4,61,39.2
"G17","ENV1",3,"B3",7,6,5.25,94,60,40.7
"G18","ENV1",3,"B3",8,6,3.96,86.9,62,37
"G19","ENV1",3,"B3",9,6,5.42,91.3,61,39.4
"G20","ENV1",3,"B3",10,6,5.03,83.6,61,38.1
"G01","ENV2",1,"B1",1,1,4.75,92.1,56,39.1
"G02","ENV2",1,"B1",2,1,3.74,85.1,57,39.5
"G03","ENV2",1,"B1",3,1,3.33,81.5,63,35.1
"G04","ENV2",1,"B1",4,1,4.25,82.9,59,41
"G05","ENV2",1,"B1",5,1,4.1,82,61,36.4
"G06","ENV2",1,"B1",6,1,4.01,82.2,59,37.6
"G07","ENV2",1,"B1",7,1,2.95,79.4,59,35.5
"G08","ENV2",1,"B1",8,1,4.99,89.1,57,40.3
"G09","ENV2",1,"B1",9,1,3.32,82.7,58,39
"G10","ENV2",1,"B1",10,1,3.97,89.2,56,38
"G11","ENV2",1,"B1",1,2,3.54,86.8,61,35.1
"G12","ENV2",1,"B1",2,2,4.23,78.1,59,37.8
"G13","ENV2",1,"B1",3,2,4.88,88.8,58,38.1
"G14","ENV2",1,"B1",4,2,3.16,75.7,61,35.3
"G15","ENV2",1,"B1",5,2,4.15,93.9,58,39.3
"G16","ENV2",1,"B1",6,2,3.48,81.6,61,36.3
"G17","ENV2",1,"B1",7,2,3.82,90.5,58,38.1
"G18","ENV2",1,"B1",8,2,3.65,87.8,61,36
"G19","ENV2",1,"B1",9,2,4.07,84,59,35.9
"G20","ENV2",1,"B1",10,2,3.53,81.3,59,36.3
"G01","ENV2",2,"B2",1,3,4.99,91.1,59,38.4
"G02","ENV2",2,"B2",2,3,3.58,90.5,57,36.2
"G03","ENV2",2,"B2",3,3,3.38,83.5,62,36.8
"G04","ENV2",2,"B2",4,3,5.06,83.4,59,40.5
"G05","ENV2",2,"B2",5,3,4.03,78.7,60,38.1
"G06","ENV2",2,"B2",6,3,3.72,82.3,59,38.3
"G07","ENV2",2,"B2",7,3,3.02,82.8,59,38.2
"G08","ENV2",2,"B2",8,3,5.03,89,61,39.2
"G09","ENV2",2,"B2",9,3,4.42,85.1,62,36.3
